97633,50169
97633,51388
98053,51388
98053,52612
98121,52612
98121,53791
97553,53791
97553,55037
97842,55037
97842,56266
97846,56266
97846,57426
97350,57426
97350,58619
97125,58619
97125,59874
97196,59874
97196,61112
97124,61112
97124,62268
96696,62268
96696,63421
96283,63421
96283,64469
95550,64469
95550,65738
95513,65738
95513,66705
94617,66705
94617,67874
94289,67874
94289,68894
93601,68894
93601,70390
93964,70390
93964,71345
93126,71345
93126,72472
92651,72472
92651,73413
91831,73413
91831,74485
91258,74485
91258,75499
90587,75499
90587,76340
89659,76340
89659,77743
89559,77743
89559,78583
88636,78583
88636,79292
87566,79292
87566,80495
87129,80495
87129,81551
86489,81551
86489,82338
85538,82338
85538,82960
84428,82960
84428,83753
83513,83753
83513,84878
82919,84878
82919,85891
82195,85891
82195,86570
81169,86570
81169,87300
80193,87300
80193,88282
79415,88282
79415,88904
78355,88904
78355,89350
77181,89350
77181,90531
76506,90531
76506,91216
75487,91216
75487,91729
74365,91729
74365,91726
72966,91726
72966,92611
72065,92611
72065,92996
70901,92996
70901,93306
69711,93306
69711,94632
68965,94632
68965,94560
67615,94560
67615,94987
66479,94987
66479,95268
65293,95268
65293,96031
64262,96031
64262,96593
63152,96593
63152,96107
61763,96107
61763,96817
60688,96817
60688,96598
59403,96598
59403,96994
58250,96994
58250,97327
57078,97327
57078,97447
55871,97447
55871,97416
54651,97416
54651,97992
53483,97992
53483,97614
52244,97614
52244,98218
51050,98218
51050,97564
49830,97564
49830,97533
48626,97533
48626,97551
47418,97551
47418,98197
46157,98197
46157,97889
44957,97889
44957,97834
43734,97834
43734,96980
42631,96980
42631,96822
41435,96822
41435,97007
40165,97007
40165,96661
38997,96661
38997,96756
37716,96756
37716,95776
36725,95776
36725,96100
35355,96100
35355,94983
34445,94983
34445,94538
33324,94538
33324,94626
31989,94626
31989,93592
31109,93592
31109,93900
29639,93900
29639,93313
28562,93313
28562,92683
27510,92683
27510,91855
26573,91855
26573,91604
25308,91604
25308,90550
24523,90550
24523,89590
23705,89590
23705,89166
22531,89166
22531,88414
21581,88414
21581,87970
20391,87970
20391,87157
19480,87157
19480,85960
18906,85960
18906,85289
17888,85289
17888,84890
16596,84890
16596,83958
15799,83958
15799,83089
14941,83089
14941,82223
14076,82223
14076,81162
13437,81162
13437,80222
12665,80222
12665,79061
12178,79061
12178,78126
11409,78126
11409,77047
10843,77047
10843,76018
10214,76018
10214,75079
9443,75079
9443,74349
8298,74349
8298,73213
7824,73213
7824,71853
7798,71853
7798,70854
7099,70854
7099,70043
5964,70043
5964,68722
5939,68722
5939,67789
5000,67789
5000,66447
5101,66447
5101,65341
4589,65341
4589,64130
4394,64130
4394,62950
4123,62950
4123,61779
3828,61779
3828,60761
2866,60761
2866,59581
2518,59581
2518,58326
2574,58326
2574,57096
2546,57096
